YEAR,EVENT_ID,SITE_ID,STATION,POT_ID,SAMPLE_POT,all_Cnt_cc,all_Kg_cc,lrg_Cnt,lrg_Kg
1993,1993P04005,2,A,5,Sample,8,0.292,6,0.249491
1993,1993P04005,2,A,6,Sample,21,0.618,13,0.504186
1993,1993P04005,2,A,7,Sample,12,0.386,7,0.305625
1993,1993P04005,2,A,8,Sample,17,0.48,9,0.358892
1993,1993P04005,2,A,9,Sample,39,1.15,21,0.862143
1993,1993P04006,2,B,1,Sample,2,0.078,2,0.078
1993,1993P04006,2,B,10,Sample,21,0.666,12,0.515603
1993,1993P04006,2,B,11,Sample,11,0.368,7,0.309271
1993,1993P04006,2,B,2,Sample,2,0.088,2,0.088
1993,1993P04006,2,B,3,Sample,15,0.444,9,0.363267
1993,1993P04006,2,B,4,Sample,1,0.048,1,0.048
1993,1993P04006,2,B,5,Sample,6,0.082,0,0
1993,1993P04006,2,B,6,Sample,5,0.096,2,0.055565
1993,1993P04006,2,B,7,Sample,1,0.014,0,0
1993,1993P04006,2,B,8,Sample,21,0.542,8,0.335531
1993,1993P04007,2,C,1,Sample,37,1.172,23,0.984213
1993,1993P04007,2,C,10,Sample,0,0,0,0
1993,1993P04007,2,C,11,Sample,3,0.118,2,0.105965
1993,1993P04007,2,C,2,Sample,9,0.298,5,0.247289
1993,1993P04007,2,C,3,Sample,2,0.098,2,0.098
1993,1993P04007,2,C,4,Sample,10,0.256,6,0.205918
1993,1993P04007,2,C,5,Sample,3,0.036,0,0
1993,1993P04007,2,C,6,Sample,10,0.3,5,0.227874
1993,1993P04007,2,C,7,Sample,1,0.014,0,0
1993,1993P04007,2,C,8,Sample,3,0.04,0,0
1993,1993P04007,2,C,9,Sample,13,0.274,4,0.168861
1993,1993P04008,2,D,1,Sample,1,0.012,0,0
1993,1993P04008,2,D,10,Sample,6,0.172,3,0.120332
1993,1993P04008,2,D,11,Sample,23,0.742,15,0.626119
1993,1993P04008,2,D,2,Sample,3,0.08,1,0.05044
1993,1993P04008,2,D,3,Sample,14,0.304,4,0.185991
1993,1993P04008,2,D,4,Sample,14,0.416,7,0.31759
1993,1993P04008,2,D,5,Sample,6,0.104,2,0.055615
1993,1993P04008,2,D,6,Sample,12,0.344,8,0.288709
1993,1993P04008,2,D,7,Sample,21,0.838,17,0.778124
1993,1993P04008,2,D,8,Sample,17,0.41,5,0.231222
1993,1993P04008,2,D,9,Sample,6,0.19,5,0.17703
